Callsign, Origin, Destination
CLU211,UUEE,EDDF
DAL248,EHAM,LFPG
AZA596,LIRF,UUEE
AFL2305,EDDF,UUEE
TVS6AD,LEMG,LKPR
AFL2339,EDDS,UUEE
AFL2193,EHAM,UUEE
AFL2377,LFLL,UUEE
AFL2595,EDDM,UUEE
WZZ1168,BIKF,EPKT
BAW237,EGLL,UUDD
AMC591,LEMG,LMML
AFL2423,LIPZ,UUEE
TAP746,LPPT,EFHK
AFL2181,ESGG,UUEE
AFL2317,EDDB,UUEE
AFL2469,LHBP,UUEE
AFL2461,LFPG,UUEE
AFL2497,EKCH,UUEE
AFL2113,LGAV,UUEE
AFL2619,EBBR,UUEE
AFL2405,LIRF,UUEE
AFL2037,LROP,UUEE
AFL2415,LIMC,UUEE
AFL2355,LOWW,UUEE
AFL2575,EGLL,UUEE
DFC147D,LIRF,EHRD
AEE609,EGLL,LGAV
TAP1256,LPPT,LROP
TAP1200,LPPT,UUDD
BAW4VK,EGLL,ENGM
AFL2605,LEMD,UUEE
TAP1693,LPPT,LPMA
AFL2017,LKPR,UUEE
AFL2387,ESSA,UUEE
EFD4E,EDDB,LBSF
AFL2119,EVRA,UUEE
AFL2429,LIMC,UUEE
AFL2149,EETN,UUEE
VKG799,EFHK,EKCH
BCS2218,EDDP,EGGW
BTI427,UUEE,EVRA
EFD4E,LBSF,EDDS
AFL2109,EYVI,UUEE
BAW236,UUDD,EGLL
AZA595,UUEE,LIRF
AFL1353,UUOO,UUEE
AFL2707,LKPR,UUEE
SBI022,ULLI,UUDD
BCS128,EDDP,EDDF
AFL035,ULLI,UUEE
AFL2717,EFHK,UUEE
BTI36V,EETN,EVRA
WZZ591,LBSF,EGGW
AFL2500,UUEE,LEMD
BTI35G,EYVI,EVRA
AZA7JE,LGAV,LIRF
WZZ121,LROP,LIRA
AFR26QH,LROP,LFPG
PBD207,UUWW,ULLI
AFR1845,UUEE,LFPG
WZZ926,EYVI,EGGW
WZZ331,LBSF,EKCH
TAP1690,LPMA,LPPT
WZZ1451,LROP,LIME
WZZ2CK,LROP,LSGG
AFR33DX,LGAV,LFPG
WZZ6ZW,LROP,EBCI
ETH702,LIRF,LIMC
WZZ1221,EVRA,EGGW
AFL2416,UUEE,LIMC
AFL033,ULLI,UUEE
OAL31H,LGIR,LGAV
AFL1230,UUEE,UWUU
TAP1257,LROP,LPPT
DLH1451,UUDD,EDDF
AFL006,UUEE,ULLI
WZZ3BC,LRTR,LIME
AFL1237,UWUU,UUEE
DFC147D,EHRD,EDDB
WZZ16BB,LROP,EGGW
ABW240,UUDD,UUEE
RSY9503,UUWW,ULLI
AZA059,LEMD,LIRF
AFL2703,EETN,UUEE
IBK514,EFHK,LEMG
AZA1184,LICA,LIML
WZZ849,LBWN,EDLW
GMI82PL,EDDG,LPMA
LDM50E,EDDL,LEAL
DLH2EJ,EDDH,EDDF
AFL2320,UUEE,EDDM
AFR762Q,LFBD,LFPG
AFR38RB,ESSA,LFPG
AFL2638,UUEE,LEBL
WZZ8ZX,EPWA,EGBB
AFL2437,EDDL,UUEE
WZZ3AH,LWSK,EDLW
TAP1245,LKPR,LPPT
IBK9TV,LEMG,ESSA
VKG394,EKCH,EFHK
AZA9QL,LICJ,LIRF
TAP567C,EDDH,LPPT
TAP551,EDDM,LPPT
AEA1039,LEMG,LFPG
AFR765U,LFLL,LFPG
TRA6X,EHAM,GCLA
TAP641,EBBR,LPPT
WZZ856,LWSK,ESGG
AFL2713,EVRA,UUEE
WZZ1LK,EPKT,EDLW
AFL2580,UUEE,EGLL
WZZ1DE,EPWA,EGGW
WZZ134,EPKT,EGGP
WZZ6VE,LROP,LIPH
OAL300,LGAV,LGIR
IBK260,EFHK,EKCH
EWG3LL,LOWW,LIRF
WZZ1EF,LHBP,EGGW
WZZ8,LBSF,EDLW
WZZ679,LWSK,EGGW
WZZ496,EPWA,LHBP
WZZ1AD,EPGD,ESMS
WZZ2489,LHBP,UUWW
AZA317,LFPG,LIRF
GWI6902,LKPR,EDDS
WZZ1GA,EPGD,EGGW
AZA1490,LIPX,LIRF
AFR32UR,LIMF,LFPG
AFL2620,UUEE,LEMG
WZZ2AR,LHBP,LMML
TAP573,EDDF,LPPT
PBD805,UUWW,LIME
DLH4KV,EDDV,EDDF
WZZ973,LHDC,EGGW
AFR27MM,LHBP,LFPG
DLH3EJ,LGAV,EDDF
TAP837,LIRF,LPPT
NWS177,UUEE,ULLI
TVF38KL,LFPO,LEZL
AZA8PZ,LIPZ,LIRF
WZZ429,LHBP,EGBB
SIA362,UUDD,ESSA
WZZ463,LHBP,LWSK
AFL1785,ULLI,UUEE
WZZ5LZ,LHBP,LIMC
LDM65S,LOWW,LIRF
BTI8GJ,EVRA,LFPG
WZZ146,EYVI,EHEH
BEL6DR,EBBR,LIMC
RYR7RQ,EDDB,LGAV
AZA075,LEBL,LIRF
DLH2TN,EDDH,EDDF
AZA5RK,LIML,LIRF
VLG63PR,LIRF,EGKK
EWG6QL,EDDM,EDDK
TAP821,LIMC,LPPT
RYR3HW,EYVI,LIRA
WZZ1AC,EPKT,EGGW
AFL2536,UUEE,EDDL
EZS28VD,LSGG,LFBD
EZY979V,LFPG,LFBO
BTI424,EVRA,UUEE
AFL2402,UUEE,LIRF
WZZ655,LWSK,EKCH
RYR670T,EDDB,LIRA
BTI8LQ,EVRA,LOWW
IBS3917,LEPA,LEMD
DLH073,EDDL,EDDF
BTI13F,EVRA,EKCH
BAW365,LFLL,EGLL
AFL2684,UUEE,EDDB
EZY2733,LIMC,LEMG
VKG2502,ESSA,EKCH
RYR4DU,LEZL,EDDB
AFL2715,EDDB,UUEE
WZZ100B,EPGD,ESKN
PBD203,UUWW,ULLI
EZY2713,LIMC,LPPT
TUI8938,EDDF,LIEE
AFR1692,LFRS,EHAM
AFL010,UUEE,ULLI
EWG2GR,EDDH,LFPG
BEL3732,LEMD,EBBR
EDW402,LSZH,BKPR
JAF32M,EBAW,LEAL
EZY23UB,LIPZ,LFPG
AAF663,LFLL,LFRS
WZZ5SR,EPPO,EGGW
AFL2482,UUEE,LIPO
AFR21RX,LPPT,LFPG
AFR59RV,LEMD,LFPG
WZZ2427,LHBP,BIKF
JAF5DE,EBOS,LEMG
BTI6RV,EVRA,EHAM
VLG253B,LEAL,LFPO
TVF79KA,LFPO,LEMD
AFR18DB,EPWA,LFPG
PBD881,UUWW,EFHK
BTI30W,EVRA,EFHK
SXD5ZX,EDDV,EDDL
AZA300,LIML,LFPG
AFL2202,UUEE,EFHK
IBK57F,LEMG,EKCH
VLG62YA,LFPO,LIRF
EZY26FV,LIMC,LFPG
BTI221,EVRA,EDDM
RYR4VA,LEAL,EPMO
AZA1569,LIEA,LIML
JAF95M,EBBR,LEAL
AZA51J,LSGG,LIRF
AZA74Q,LIEE,LIML
BTI442,EVRA,ULLI
EZY4019,LFPO,LFBO
EZY89DG,LIMC,LEMD
EZY34MJ,LFPG,LIML
TRA45E,EHAM,LPPT
AFL2452,UUEE,LFPG
AZA1432,LIMF,LIRF
BTI6G1,EVRA,EGKK
IBE0407,LEJR,LEMD
AZA1637,LIML,LIBD
EWG3JP,EDDK,LOWW
AFL2522,UUEE,LEAL
EZY86VH,LIMC,LEBL
EZY32QR,LIML,EGKK
XK450DE,LFKF,LFML
VLG9496,LFPG,LKPR
LDM6GE,LOWW,LIME
AZA2013,LIML,LIRF
BEL1WS,EBBR,LOWW
WZZ3CG,LBSF,LIME
OAL3RE,LGAV,LGSA
AZA71G,LIML,EDDF
AFR163P,LIMC,LFPG
SBI795,UUDD,EDDM
AZA1154,LICR,LIRF
BAW709,LSZH,EGLL
NAX1BY,ESSA,LEAL
IBE3489,LSGG,LEMD
BTI7KP,EVRA,EPWA
EZY277H,LFLL,LFRS
EZS92WZ,LSGG,LPPT
WUK535,EGGW,EYKA
GWI6904,LKPR,EDDS
EZY31RT,LIMC,EHAM
DLH5JT,ESSA,EDDF
BAW599,LIPZ,EGLL
BAW811,EKCH,EGLL
AFL2374,UUEE,LFLL
WOW5,BIKF,EHAM
EZS18KB,LSGG,EGKK
AEA21SL,LEMD,LPPT
EZY21QT,LFLL,EGKK
DLH08P,EDDF,LOWW
EZY4731,EDDB,LOWW
EDW284K,LSZH,LPMA
TAP1900,LPFR,LPPT
TAP1103,LEZL,LPPT
TAP669,EHAM,LPPT
TAP447,LFPO,LPPT
WUK45,EGGW,LZKZ
TRA30X,EHRD,LPFR
TOM8VM,EGBB,LEAL
