Callsign, Origin, Destination
THA926,EKCH,EDDF
SXD2RE,EDDS,EDDK
FEG3003,LOWW,LFPG
AZA596,LIRF,UUEE
WZZ658,EGGW,LBWN
AFL2339,EDDS,UUEE
ICE455,EGLL,BIKF
AFL2393,LSZH,UUEE
RYR3QW,LPPT,EGSS
AFL2595,EDDM,UUEE
BAW237,EGLL,UUDD
AFL2193,EHAM,UUEE
TVS6AD,LEMG,LKPR
RYR70PL,EVRA,EIDW
BCS145,LEVT,EDDP
WZZ5CU,EGGP,LROP
TAP746,LPPT,EFHK
AFL2591,EIDW,UUEE
WZZ938,EGGW,LBSF
AFL2113,LGAV,UUEE
WZZ186,EGCN,LROP
AFL2469,LHBP,UUEE
AFL2423,LIPZ,UUEE
WZZ5LH,EGGW,EPWR
CLU482,EBLG,UUEE
TRA6902,LBBG,EHAM
AFL2401,LIRF,UUEE
WUK1DF,LJLJ,EGGW
AFL2317,EDDB,UUEE
BCS335,EKCH,EGNX
AFL2461,LFPG,UUEE
AFL2585,EGLL,UUEE
AFL2377,LFLL,UUEE
TAY054G,LFBO,EBLG
AEE609,EGLL,LGAV
AFL2497,EKCH,UUEE
BCS373,LEVT,EGNX
AFL2037,LROP,UUEE
AFL2535,ENGM,UUEE
NPT4134,ESMS,EBLG
JLN1,EGGW,LEMG
BCS387,EKCH,EDDK
SAS1790,EKCH,EETN
BCS361,LIME,EGNX
BCS2217,EGLL,EDDP
TAY738C,LEVT,EBLG
WZZ152,EGKK,LROP
BCS327,EDDK,EGNX
TUI952,EDDM,EDDV
BCS7331,LIME,LFPG
BCS130,EDDP,LIME
AFL2513,LEBL,UUEE
AWC2B,EGAA,EGSS
WZZ11KK,EGBB,LROP
DHK107,EGNX,EDDP
AFL2355,LOWW,UUEE
BCS390,LIME,EDDK
BCS1263,LFPG,EDDP
BCS105,EGNX,EDDP
BCS135,LIME,EDDP
AFL036,UUEE,ULLI
AFL2181,ESGG,UUEE
BCS5334,EDDP,LZIB
TAY826H,LFPG,EBLG
TAP1693,LPPT,LPMA
AFL2017,LKPR,UUEE
BCS174,EDDP,EKCH
TAP1200,LPPT,UUDD
NPT11M,EGPH,EGSS
NPT05K,EGTE,EGNX
AFL2605,LEMD,UUEE
PAV12,EDDS,LIPO
BCS2581,EGNX,LFPG
NPT04S,EGPH,EGNX
BCS109,EGNX,EDDP
AFL2619,EBBR,UUEE
BCS104,EDDP,EGNX
AFL2387,ESSA,UUEE
MSA756,LIPO,LIBD
FPO725,LFPG,LFML
AFL047,ULLI,UUEE
NPT09H,EGSS,EGPH
MSA793,LIPO,LIEE
AIC111,EKCH,EGLL
BCS2214,EDDP,EGGW
BCS365,EBBR,EGNX
JDI88X,EPKK,EPPO
AFL1165,URRP,UUEE
AFR772P,LFPG,LFRS
BCS192,EDDP,EDDK
BCS121,EBBR,EDDP
BCS118,EDDP,EBBR
TAY975B,EBLG,EGSS
TAP1254,LPPT,LHBP
AFL2119,EVRA,UUEE
TAY123G,LFPG,LFBO
LLM9792,UUEE,UUDD
BCS106,EDDP,EGNX
RYR7NB,LFBD,EGSS
TAY805G,EBLG,EDDN
NPT12B,EGNX,EGPH
FPO701,LFPG,LFML
DCAWR,EDDV,LOWW
CGF777P,EDDP,EDDK
TAY128M,LFPG,LFML
BCS120,EDDP,EBBR
NPT10K,EGSS,EGPH
BCS142,EDDP,LEVT
AWC2C,EGSS,EGAC
SDM6328,UMKK,ULLI
RYR92,LFBD,EGSS
BCS123,EBBR,EDDP
AFL2149,EETN,UUEE
BCS322,LIME,LEVT
RYR50KC,EPRZ,EGNX
MNB224,EDDP,EDDK
BCS1520,EDDP,LFPG
NPT04N,EGNX,EGPH
BCS132,EDDP,LIME
BCS2120,LIME,EGSS
AFL037,ULLI,UUEE
MNB452,LFPG,EGGW
FPO1364,LEMD,EGNX
BCS5335,LZIB,EDDP
BCS388,EDDK,EKCH
BCS112,EDDP,EGNX
SRR6316,EDDK,LFPG
BCS179,EKCH,EDDP
BCS194,EDDP,EDDK
SRR6402,EDDK,LIME
BCS328,EGNX,EDDK
NPT05L,EGNX,EGTE
BCS176,EDDP,EKCH
BCS144,EDDP,LEVT
AFL1009,UMKK,UUEE
BCS336,EGNX,EKCH
BCS7332,LFPG,LIME
BCS358,EGNX,LIME
TAY976C,EGSS,EBLG
BOX111,EGNX,EDDP
BCS195,EDDK,EDDP
AFL053,ULLI,UUEE
SRR6978,EDDK,EGNX
TAY806H,EDDN,EBLG
BCS318,EBBR,EKCH
BCS391,EDDK,LIME
BCS5202,EBBR,LHBP
BCS372,EGNX,LEVT
KAR208,ULLI,UUEE
TOM9030,EKCH,ESSA
BCS316,EBBR,LEVT
BCS308,EBBR,LIME
BCS114,EDDP,EGNX
BCS8288,EBBR,LEMD
BCS2213,EGGW,EDDP
AWC2D,EGAA,EGSS
SBI1160,URRP,UUDD
DCAPB,LJLJ,EDDH
MSBUR,ULLI,UUWW
GFM1T,ESSA,ESPA
BCS1264,EDDP,LFPG
FPO775,LFML,LFKJ
UTA359,UUWW,ULLI
SRR6528,EDDK,LEVT
BCS146,EDDP,LEVT
BCS8930,EGNX,LEMD
BCS2696,EBBR,EGGW
BCS8530,EDDP,LEBL
SRR6566,EDDK,EGNX
BCS178,EDDP,EKCH
AFL2109,EYVI,UUEE
SRR6382,EDDK,LFML
BCS8464,EDDP,LEMD
BCS2216,EDDP,EGSS
SRR6374,EDDK,LFLL
SRR6498,EDDK,LIME
BAW236,UUDD,EGLL
ICE741,EBLG,EGNX
BCS134,EDDP,LIME
SDM6011,ULLI,UUWW
BCS2218,EDDP,EGGW
BCS1730,EBBR,LFLL
TAY071M,EBLG,LIRA
BCS1684,EDDP,LFML
BCS1182,EDDP,LFLL
AFL035,ULLI,UUEE
BOX910,EDDP,EDDF
TAY036M,EBLG,ESMS
SRR6118,EDDK,EDDM
TAY987A,EBLG,EDDM
TAY037B,EBLG,LEMD
