Callsign, Origin, Destination
CES771,YSSY,EHAM
CSN461,KORD,EDDF
AMX001,SAEZ,LEMD
CCA855,OMDB,EGLL
CCA827,RJBB,EDDM
THA924,RPLL,EDDM
AAR501,KORD,LFPG
KAL905,VHHH,EDDF
ETH502,GOBD,EIDW
THA950,RJBB,EKCH
CES551,YSSY,EGLL
KAL529,PANC,UUEE
MAU34,FARA,LFPG
QFA9,YPPH,EGLL
CPA038,LFPG,VHHH
THA936,WIII,LOWW
QFA10,EGLL,YPPH
ETH700,FAOR,EGLL
LPE2484,SAEZ,LEMD
AFR552,LFPG,RCTP
AMX003,SBGR,LFPG
THA960,WMKK,ESSA
OMA115,WMKK,EDDF
CPA3123,EHAM,VHHH
NAX7UA,LFPG,KHHR
AIC137,VIDP,LIMC
MSR799,VHHH,LFPG
BAW44N,EGLL,KSAN
AEA097,LEMD,KMIA
EVA061,RCTP,LOWW
NRS7506,SAEZ,EGKK
DLH714,EDDM,RJTK
DAL79,EHAM,KLAX
TWY977,EBBR,KSJC
AFR293,RJTT,LFPG
OAE601,LRBS,KIAD
BAW97A,EGLL,KIAH
ISS955,LIMC,VIDP
AMX007,SAEZ,EGLL
BAW287,EGLL,KSFO
JAL12,EFHK,KDFW
N610AW,EBBR,KDAL
KQA112,FAOR,LFPG
MAS2,WMKK,EGLL
AFR272,LFPG,RJTK
ANZ1,EGLL,KHHR
CAL075,RCTP,LIRF
AFR185,VHHH,LFPG
NAX7051,ENGM,KMCO
BAW269,EGLL,KHHR
NAX7YR,LFPG,KFLL
BAW9CG,EGLL,KPHX
BAW32,VHHH,EGLL
BAW119,EGLL,VOBL
BAW34,WMKK,EGLL
DLH458,EDDM,KSFO
TAR756,DAAG,LIMC
LOT3,EPWA,KORD
BAW28,VHHH,EGLL
IBE2602,SAEZ,LEBL
AEA046,SUMU,LEMD
DLH731,VHHH,EDDM
ANA203,RJTT,EDDF
GIA088,WIII,EHAM
BAW35,EGLL,VOMM
CPA251,VHHH,EGLL
GTI563,KMIA,LEZG
JAI115,EGLL,VABB
LOT45,EPWA,CYYZ
EDW91,SAEZ,LSZH
BAW275,EGLL,KLAS
EVA087,RCTP,LFPG
AIC135,VIDP,LEMD
BOX393,KCVG,EDDP
BAW297,EGLL,KORD
ARG1134,SAEZ,LEMD
