Callsign, Origin, Destination,Day
ABW113,UUEE,LEZG,2020-12-01 
LOT7300,LEVC,EPGD,2020-12-01 
ICE752,BIKF,EBLG,2020-12-01 
RSY9824,UUWW,EBLG,2020-12-01 
RZO129,LPPT,LPPD,2020-12-01 
ABW790,LEMD,UUEE,2020-12-01 
RYR3BQ,LPPT,LPPD,2020-12-01 
BCS13C,EKCH,EGNX,2020-12-01 
TAY4947,LFBO,EBLG,2020-12-01 
AJT8931,LEMD,EGNX,2020-12-01 
TAY4496,LIPE,EBLG,2020-12-01 
BCS48B,LFPG,EDDP,2020-12-01 
BCS138,EDDP,LIMC,2020-12-01 
BCS80A,LIMC,EDDP,2020-12-01 
BCS387,EKCH,EDDK,2020-12-01 
BCS68Y,LIMC,EGNX,2020-12-01 
ABR1623,EGMC,LIRF,2020-12-01 
BOX107,EGNX,EDDP,2020-12-01 
UTA379,UUWW,UUYY,2020-12-01 
BCS73E,EGNX,EDDP,2020-12-01 
BCS7331,LIMC,LFPG,2020-12-01 
RZO6466,LPMA,LPPT,2020-12-01 
BCS57N,EDDK,EGNX,2020-12-01 
EWG3001,EDDB,EDDS,2020-12-01 
BCS17E,EDDP,LIMC,2020-12-01 
BCS58L,LFPG,EDDP,2020-12-01 
TUI951,EDDV,EDDM,2020-12-01 
NPT01C,EGAA,EGNX,2020-12-01 
DHK2217,EGLL,EDDP,2020-12-01 
SWT771P,EDDP,LEMD,2020-12-01 
TUI60T,EDDV,EDDS,2020-12-01 
AFL1323,ULMM,UUEE,2020-12-01 
TUI35J,EDDM,EDDV,2020-12-01 
SWN494,ENGM,ENBO,2020-12-01 
AWC2B,EGAA,EGSS,2020-12-01 
TAY4869,LFPG,EBLG,2020-12-01 
TAP1960,LPPT,LPPR,2020-12-01 
BCS308,LIMC,EDDK,2020-12-01 
BCS61W,LIMC,EDDP,2020-12-01 
BCS5334,EDDP,LZIB,2020-12-01 
SWN4756,EKBI,EBLG,2020-12-01 
BCS49C,EDDP,EGNX,2020-12-01 
BCS29L,EGNX,LFPG,2020-12-01 
TUI2BV,EDDS,EDDV,2020-12-01 
BCS72J,EGNX,EDDP,2020-12-01 
BFY726P,LFML,LEMG,2020-12-01 
BCS192,EDDP,EDDK,2020-12-01 
NPT04S,EGPH,EGNX,2020-12-01 
BCS15Q,EDDP,EHAM,2020-12-01 
NPT11L,EGPH,EGSS,2020-12-01 
BCS83C,EDDP,EKCH,2020-12-01 
BCS67Z,EBBR,EGNX,2020-12-01 
NPT09H,EGSS,EGPH,2020-12-01 
CGF5914,EDDP,EPKT,2020-12-01 
ABR1537,EDDV,EGNX,2020-12-01 
BCS19U,EDDP,EGGW,2020-12-01 
RYR8884,EINN,LIPE,2020-12-01 
NPT05K,EGTE,EGNX,2020-12-01 
