Callsign, Origin, Destination,Day
ETH714,VIDP,ESSA,2020-07-01 
ADN99S,EDDN,RKSI,2020-07-01 
KLM876,RPLL,EHAM,2020-07-01 
KLM807,EHAM,RCTP,2020-07-01 
KLM601,EHAM,KHHR,2020-07-01 
KLM739,EHAM,SKBO,2020-07-01 
BAW287,EGLL,KSFO,2020-07-01 
KLM867,EHAM,RJBB,2020-07-01 
AFR185,VHHH,LFPG,2020-07-01 
CAL061,RCTP,EDDF,2020-07-01 
BAW12,WSSS,EGLL,2020-07-01 
KAL592,LEMD,RKSI,2020-07-01 
BAW32,VHHH,EGLL,2020-07-01 
BAW119,EGLL,VOBL,2020-07-01 
LOT1003,EPWA,KORD,2020-07-01 
BOX691,VVTS,EDDF,2020-07-01 
AFR201,RKSI,LFPG,2020-07-01 
ETH700,FAOR,EGLL,2020-07-01 
CAL073,RCTP,EHAM,2020-07-01 
AWC661W,KORL,EGSS,2020-07-01 
SIA322,WSSS,EGLL,2020-07-01 
AFR267,RKSI,LFPG,2020-07-01 
AFR258,LFPG,VVTS,2020-07-01 
KLM856,RKSI,EHAM,2020-07-01 
KLM836,WSSS,EHAM,2020-07-01 
SIA26,WSSS,EDDF,2020-07-01 
SIA324,WSSS,EHAM,2020-07-01 
KLM887,EHAM,VHHH,2020-07-01 
KLM591,EHAM,FAGM,2020-07-01 
CPA251,VHHH,EGLL,2020-07-01 
ABD5310,FAOR,EBLG,2020-07-01 
CPA271,VHHH,EHAM,2020-07-01 
TAM9550,SBGR,EHAM,2020-07-01 
BAW193,EGLL,KDFW,2020-07-01 
KAL530,EDDF,RKSI,2020-07-01 
KAR301,UUEE,UHBB,2020-07-01 
ABD4755,EGCN,WMKK,2020-07-01 
OAE519,EINN,KBWI,2020-07-01 
KAL541,RKSI,LOWW,2020-07-01 
SIA346,WSSS,LSZH,2020-07-01 
AFR995,FAGC,LFPG,2020-07-01 
BOX392,EDDP,KCVG,2020-07-01 
CSN483,ZGGG,EGSS,2020-07-01 
AAR796,EDDF,RKSI,2020-07-01 
SBI3061,UUDD,UHBB,2020-07-01 
KLM792,SBGR,EHAM,2020-07-01 
DHK923,KMIA,EBBR,2020-07-01 
BAW31,EGLL,VHHH,2020-07-01 
JAL44,EGLL,RJTL,2020-07-01 
AFR457,SBGR,LFPG,2020-07-01 
KLM875,EHAM,RPLL,2020-07-01 
BAW246,SBGR,EGLL,2020-07-01 
AIC112,EGLL,VIDP,2020-07-01 
AFR256,LFPG,WSSS,2020-07-01 
KAL926,EHAM,RKSI,2020-07-01 
N121SA,KSKA,UUEE,2020-07-01 
ETH3405,EHBK,KJFK,2020-07-01 
TAP3110,SBGR,LPPT,2020-07-01 
CKS978,EBBR,KCVG,2020-07-01 
MAS3D,EGLL,WMKK,2020-07-01 
N864AM,BIKF,KIAD,2020-07-01 
KLM855,EHAM,RKSI,2020-07-01 
BAW244F,SAEZ,EGLL,2020-07-01 
KLM602,KLAX,EHAM,2020-07-01 
BAW55,EGLL,FAGM,2020-07-01 
EVA078,EHAM,RCTP,2020-07-01 
AFR191,VOBL,LFPG,2020-07-01 
CSN487,ZUCK,EHAM,2020-07-01 
KZR903,UAAA,EHAM,2020-07-01 
TAP9532,SBGR,LPPT,2020-07-01 
PBD445,UUWW,UNEE,2020-07-01 
ENT533,LFPG,OERK,2020-07-01 
KLM835,EHAM,WSSS,2020-07-01 
AJT972,EGNX,KCVG,2020-07-01 
ABG9953,UUWW,VHHH,2020-07-01 
IBE2883,GOBD,LEMD,2020-07-01 
PLM541P,VABB,LEMD,2020-07-01 
LOT1071,EPWA,VIDP,2020-07-01 
CSN467,ZGGG,EDDF,2020-07-01 
ABW9412,EBLG,OMDB,2020-07-01 
DAL46,KJFK,EHAM,2020-07-01 
BOX575,RKSI,EDDP,2020-07-01 
CSN403,ZUCK,EDDF,2020-07-01 
BAW247,EGLL,SBGR,2020-07-01 
KLM872,VIDP,EHAM,2020-07-01 
ACA872,CYYZ,EDDF,2020-07-01 
AFR188,LFPG,VHHH,2020-07-01 
ACA846,CYYZ,EDDM,2020-07-01 
IBE6124,KMIA,LEMD,2020-07-01 
CSS7176,ZUCK,EDDF,2020-07-01 
DAL82,KATL,LFPG,2020-07-01 
CKS395,KCVG,EDDP,2020-07-01 
DAL16,KDTW,EGLL,2020-07-01 
BAW294,KORD,EGLL,2020-07-01 
MPH7121,EHAM,SBKP,2020-07-01 
AFL1306,UUEE,UNNT,2020-07-01 
DLH403,KEWR,EDDF,2020-07-01 
ACA874,CYUL,EDDF,2020-07-01 
DAL3340,KORD,EDDF,2020-07-01 
N610SW,KDAL,LMML,2020-07-01 
DAL134,KDTW,EHAM,2020-07-01 
KLM48,KORD,EHAM,2020-07-01 
DAL72,KATL,EHAM,2020-07-01 
VJT957,KMIA,EGGW,2020-07-01 
BAW112,KJFK,EGLL,2020-07-01 
AFR291,RJBB,LFPG,2020-07-01 
DAL74,KATL,EHAM,2020-07-01 
AFR065,KLAX,LFPG,2020-07-01 
KLM428,OMDB,EHAM,2020-07-01 
ABW9504,KCVG,EDDP,2020-07-01 
DAL14,KATL,EDDF,2020-07-01 
IAM3170,UNNT,LIPX,2020-07-01 
N8762M,KPIT,LIRA,2020-07-01 
ACA2204,CYUL,EFHK,2020-07-01 
SBI3064,UHBB,UUDD,2020-07-01 
BOX581,VHHH,EDDK,2020-07-01 
KLM646,KJFK,EHAM,2020-07-01 
DLH507,SBGR,EDDF,2020-07-01 
AFR6739,KORD,EGPK,2020-07-01 
KLM86,CYYZ,EHAM,2020-07-01 
CAO1041,RCTP,EDDF,2020-07-01 
ACA7236,CYUL,LEMD,2020-07-01 
AFR347,CYUL,LFPG,2020-07-01 
VDA3636,OTHH,EGSS,2020-07-01 
AFR007,KJFK,LFPG,2020-07-01 
ART8472,DAAG,EDDK,2020-07-01 
ABW239,UUEE,VHHH,2020-07-01 
AFR5393,KJFK,LFPG,2020-07-01 
BAW280,KLAX,EGLL,2020-07-01 
SVR350,UHBB,UUDD,2020-07-01 
CSS7288,VOMM,EBLG,2020-07-01 
AAR795,RKSI,UUDD,2020-07-01 
ETHAWQ,EBBR,OLBA,2020-07-01 
BAW14K,KJFK,EGLL,2020-07-01 
BAW226,KATL,EGLL,2020-07-01 
SBI2606,UNEE,UUDD,2020-07-01 
ACA848,CYYZ,EGLL,2020-07-01 
UTN4904,VIDP,UKBB,2020-07-01 
N707WE,KSAT,LEBL,2020-07-01 
BAW172,KJFK,EGLL,2020-07-01 
DLH459,KSFO,EDDM,2020-07-01 
AFL103,KJFK,UUEE,2020-07-01 
PBD446,UNEE,UUWW,2020-07-01 
DLH475,CYUL,EDDM,2020-07-01 
ACA870,CYUL,LFPG,2020-07-01 
BAW208,KMIA,EGLL,2020-07-01 
BOX481,KLAX,EDDF,2020-07-01 
