Callsign, Origin, Destination
HVN6299,RJGG,EDDF
CSN463,KLAX,EDDF
ETH3724,VIDP,EBBR
CCA849,WSSS,EGLL
CSN465,EHAM,EGSS
AHO656Y,LFBD,VHHH
DLH733,RKSI,EDDF
CCA965,ZGSZ,EDDF
QFA9,YPPH,EGLL
MPH8562,FAOR,EHAM
BAW27,EGLL,VHHH
TAM9522,SBGR,EHAM
BAW287,EGLL,KSFO
CSN455,EDDF,EHAM
QQE545,LIML,RCSS
AFR257,WSSS,LFPG
BAW193,EGLL,KDFW
NOS973,ZGSZ,LIMC
CAL061,RCTP,EDDF
AEH407,FACT,LFPG
ETH3715,EBBR,FABA
BAW32,VHHH,EGLL
BAW12,WSSS,EGLL
EVA087,RCTP,LFPG
BAW28,VHHH,EGLL
BAW9110,EGLL,RPLL
EVA065,RCTP,LOWW
N108CZ,CYQB,BIRK
CPA251,VHHH,EGLL
CAL073,RCTP,EHAM
CAO1007,RJBB,EDDF
KAL9585,RKSI,EDDF
KAL544,EDDF,RKSI
AAR542,EDDF,RKSI
KAL8505,RKSI,EDDF
JAL46,LFPG,RJTT
N160LD,KVNY,LOWW
CPA250,EGLL,VHHH
AFR5394,LFPG,KORD
GTI8064,KDOV,EDFH
WGN3367,EHAM,KORD
CHH488,EDDF,ZUCK
SBI3061,UUDD,UHBB
IBE6650,SPJC,LEMD
SIA346,WSSS,LSZH
NCR331,EDFH,KCVG
KAL9578,LSZH,RKSI
BAW31,EGLL,VHHH
ABD387,KATL,EDDF
ACA2281,LSZH,CYYZ
AFL250,UUEE,RKSI
AAR794,EDDF,RKSI
LAV5564,FACT,LIRF
JAL44,EGLL,RJTT
AIC136,LEMD,VIDP
CKS243,EDDP,KCVG
BAW99,EGLL,CYYZ
AFR457,SBGR,LFPG
BAW55,EGLL,FABA
KAL8524,LIMC,RKSI
ACA7205,LSZH,CYUL
ABW408,EHAM,OMDB
SBI6377,UUDD,ULLI
EVA078,EHAM,RCTP
BAW11,EGLL,WSSS
BOX512,EDDP,VHHH
ACA7207,EKCH,CYYZ
CHH7983,ZGSZ,LEMD
SOO098,EDDP,VHHH
TAP3110,SBGR,LPPT
GTI8730,KNGU,EDFH
FRH542,KJFK,EBLG
GTI8054,EHAM,KJFK
DLH506,EDDF,SBGR
ACA7201,EGLL,CYUL
IGA06,UAAA,EPWR
NWS9023,ZGSZ,UUEE
MPH7761,EHAM,SBKP
SVR3987,USSK,LIMC
BOX412,EDDF,KORD
EVA070,EGLL,RCTP
RCH145,LICC,OBBS
WGN4601,EDDF,KORD
BAW109,EGLL,OMDB
SQP3817,UKBB,UAAA
BAW59,EGLL,FACT
AEE4987,UAAA,LGAV
SIA7371,EHAM,WSSS
