Type,ICAO Code,IATA Code,Name,Latitude [Deg],longitude [Deg],Country Code
medium_airport,BIAR,AEY,Akureyri Airport,65.66,-18.07,IS
medium_airport,BIEG,EGS,Egilsstaðir Airport,65.28,-14.4,IS
medium_airport,BIHN,HFN,Hornafjörður Airport,64.3,-15.23,IS
medium_airport,BIHU,HZK,Húsavík Airport,65.95,-17.43,IS
medium_airport,BIIS,IFJ,Ísafjörður Airport,66.06,-23.14,IS
large_airport,BIKF,KEF,Keflavik International Airport,63.99,-22.61,IS
medium_airport,BIRK,RKV,Reykjavik Airport,64.13,-21.94,IS
large_airport,BKPR,PRN,Priština Adem Jashari International Airport,42.57,21.04,XK
medium_airport,EBAW,ANR,Antwerp International Airport (Deurne),51.19,4.46,BE
large_airport,EBBR,BRU,Brussels Airport,50.9,4.48,BE
large_airport,EBCI,CRL,Brussels South Charleroi Airport,50.46,4.45,BE
large_airport,EBLG,LGG,Liège Airport,50.64,5.44,BE
medium_airport,EBOS,OST,Ostend-Bruges International Airport,51.2,2.86,BE
medium_airport,EDAH,HDF,Heringsdorf Airport,53.88,14.15,DE
large_airport,EDDB,BER,Berlin Brandenburg Airport,52.35,13.49,DE
large_airport,EDDC,DRS,Dresden Airport,51.13,13.77,DE
medium_airport,EDDE,ERF,Erfurt Airport,50.98,10.96,DE
large_airport,EDDF,FRA,Frankfurt am Main Airport,50.03,8.57,DE
large_airport,EDDG,FMO,Münster Osnabrück Airport,52.13,7.68,DE
large_airport,EDDH,HAM,Hamburg Airport,53.63,9.99,DE
large_airport,EDDK,CGN,Cologne Bonn Airport,50.87,7.14,DE
large_airport,EDDL,DUS,Düsseldorf Airport,51.29,6.77,DE
large_airport,EDDM,MUC,Munich Airport,48.35,11.79,DE
large_airport,EDDN,NUE,Nuremberg Airport,49.5,11.08,DE
large_airport,EDDP,LEJ,Leipzig/Halle Airport,51.42,12.24,DE
medium_airport,EDDR,SCN,Saarbrücken Airport,49.21,7.11,DE
large_airport,EDDS,STR,Stuttgart Airport,48.69,9.22,DE
large_airport,EDDV,HAJ,Hannover Airport,52.46,9.69,DE
large_airport,EDDW,BRE,Bremen Airport,53.05,8.79,DE
medium_airport,EDFH,HHN,Frankfurt-Hahn Airport,49.95,7.26,DE
medium_airport,EDFM,MHG,Mannheim-City Airport,49.47,8.51,DE
medium_airport,EDHK,KEL,Kiel-Holtenau Airport,54.38,10.15,DE
medium_airport,EDHL,LBC,Lübeck Blankensee Airport,53.81,10.72,DE
medium_airport,EDJA,FMM,Memmingen Allgau Airport,47.99,10.24,DE
medium_airport,EDLP,PAD,Paderborn Lippstadt Airport,51.61,8.62,DE
medium_airport,EDLV,NRN,Weeze Airport,51.6,6.14,DE
large_airport,EDLW,DTM,Dortmund Airport,51.52,7.61,DE
medium_airport,EDNY,FDH,Friedrichshafen Airport,47.67,9.51,DE
medium_airport,EDQM,HOQ,Hof-Plauen Airport,50.29,11.86,DE
large_airport,EDSB,FKB,Karlsruhe Baden-Baden Airport,48.78,8.08,DE
medium_airport,EDVE,BWE,Braunschweig-Wolfsburg Airport,52.32,10.56,DE
medium_airport,EDVK,KSF,Kassel-Calden Airport,51.42,9.38,DE
medium_airport,EDXW,GWT,Westerland Sylt Airport,54.91,8.34,DE
medium_airport,EEKA,KDL,Kärdla Airport,58.99,22.83,EE
medium_airport,EEKE,URE,Kuressaare Airport,58.23,22.51,EE
medium_airport,EEPU,EPU,Pärnu Airport,58.42,24.47,EE
large_airport,EETN,TLL,Lennart Meri Tallinn Airport,59.41,24.83,EE
medium_airport,EETU,TAY,Tartu Airport,58.31,26.69,EE
medium_airport,EFET,ENF,Enontekio Airport,68.36,23.42,FI
large_airport,EFHK,HEL,Helsinki Vantaa Airport,60.32,24.96,FI
medium_airport,EFIV,IVL,Ivalo Airport,68.61,27.41,FI
medium_airport,EFJO,JOE,Joensuu Airport,62.66,29.61,FI
medium_airport,EFJY,JYV,Jyväskylä Airport,62.4,25.68,FI
medium_airport,EFKE,KEM,Kemi-Tornio Airport,65.78,24.58,FI
medium_airport,EFKI,KAJ,Kajaani Airport,64.29,27.69,FI
medium_airport,EFKK,KOK,Kokkola-Pietarsaari Airport,63.72,23.14,FI
medium_airport,EFKS,KAO,Kuusamo Airport,65.99,29.24,FI
medium_airport,EFKT,KTT,Kittilä Airport,67.7,24.85,FI
medium_airport,EFKU,KUO,Kuopio Airport,63.01,27.8,FI
medium_airport,EFMA,MHQ,Mariehamn Airport,60.12,19.9,FI
medium_airport,EFOU,OUL,Oulu Airport,64.93,25.35,FI
medium_airport,EFPO,POR,Pori Airport,61.46,21.8,FI
medium_airport,EFRO,RVN,Rovaniemi Airport,66.56,25.83,FI
medium_airport,EFSA,SVL,Savonlinna Airport,61.94,28.95,FI
medium_airport,EFSI,SJY,Seinäjoki Airport,62.69,22.83,FI
medium_airport,EFTP,TMP,Tampere-Pirkkala Airport,61.41,23.6,FI
medium_airport,EFTU,TKU,Turku Airport,60.51,22.26,FI
medium_airport,EFVA,VAA,Vaasa Airport,63.05,21.76,FI
medium_airport,EFVR,VRK,Varkaus Airport,62.17,27.87,FI
large_airport,EGAA,BFS,Belfast International Airport,54.66,-6.22,GB
large_airport,EGAC,BHD,George Best Belfast City Airport,54.62,-5.87,GB
medium_airport,EGAE,LDY,City of Derry Airport,55.04,-7.16,GB
large_airport,EGBB,BHX,Birmingham International Airport,52.45,-1.75,GB
medium_airport,EGBN,NQT,Nottingham Airport,52.92,-1.08,GB
large_airport,EGCC,MAN,Manchester Airport,53.35,-2.27,GB
large_airport,EGCN,DSA,Robin Hood Doncaster Sheffield Airport,53.48,-1.01,GB
medium_airport,EGEC,CAL,Campbeltown Airport,55.44,-5.69,GB
medium_airport,EGED,EOI,Eday Airport,59.19,-2.77,GB
medium_airport,EGEF,FIE,Fair Isle Airport,59.54,-1.63,GB
large_airport,EGFF,CWL,Cardiff International Airport,51.4,-3.34,GB
large_airport,EGGD,BRS,Bristol Airport,51.38,-2.72,GB
large_airport,EGGP,LPL,Liverpool John Lennon Airport,53.33,-2.85,GB
large_airport,EGGW,LTN,London Luton Airport,51.87,-0.37,GB
medium_airport,EGHC,LEQ,Land's End Airport,50.1,-5.67,GB
medium_airport,EGHE,ISC,St. Mary's Airport,49.91,-6.29,GB
large_airport,EGHH,BOH,Bournemouth Airport,50.78,-1.84,GB
large_airport,EGHI,SOU,Southampton Airport,50.95,-1.36,GB
medium_airport,EGHQ,NQY,Newquay Cornwall Airport,50.44,-5,GB
medium_airport,EGJA,ACI,Alderney Airport,49.71,-2.21,GG
medium_airport,EGJB,GCI,Guernsey Airport,49.44,-2.6,GG
medium_airport,EGJJ,JER,Jersey Airport,49.21,-2.2,JE
large_airport,EGKK,LGW,London Gatwick Airport,51.15,-0.19,GB
medium_airport,EGLC,LCY,London City Airport,51.51,0.06,GB
large_airport,EGLL,LHR,London Heathrow Airport,51.47,-0.46,GB
medium_airport,EGMC,SEN,Southend Airport,51.57,0.7,GB
medium_airport,EGMD,LYX,Lydd Airport,50.96,0.94,GB
medium_airport,EGNH,BLK,Blackpool International Airport,53.77,-3.03,GB
medium_airport,EGNJ,HUY,Humberside Airport,53.57,-0.35,GB
large_airport,EGNM,LBA,Leeds Bradford Airport,53.87,-1.66,GB
medium_airport,EGNR,CEG,Hawarden Airport,53.18,-2.98,GB
medium_airport,EGNS,IOM,Isle of Man Airport,54.08,-4.62,IM
large_airport,EGNT,NCL,Newcastle Airport,55.04,-1.69,GB
medium_airport,EGNV,MME,Durham Tees Valley Airport,54.51,-1.43,GB
large_airport,EGNX,EMA,East Midlands Airport,52.83,-1.33,GB
medium_airport,EGOV,VLY,Anglesey Airport,53.25,-4.54,GB
medium_airport,EGPA,KOI,Kirkwall Airport,58.96,-2.9,GB
medium_airport,EGPB,LSI,Sumburgh Airport,59.88,-1.3,GB
medium_airport,EGPC,WIC,Wick Airport,58.46,-3.09,GB
large_airport,EGPD,ABZ,Aberdeen Dyce Airport,57.2,-2.2,GB
medium_airport,EGPE,INV,Inverness Airport,57.54,-4.05,GB
large_airport,EGPF,GLA,Glasgow International Airport,55.87,-4.43,GB
large_airport,EGPH,EDI,Edinburgh Airport,55.95,-3.37,GB
medium_airport,EGPI,ILY,Islay Airport,55.68,-6.26,GB
medium_airport,EGPK,PIK,Glasgow Prestwick Airport,55.51,-4.59,GB
medium_airport,EGPL,BEB,Benbecula Airport,57.48,-7.36,GB
medium_airport,EGPN,DND,Dundee Airport,56.45,-3.03,GB
medium_airport,EGPO,SYY,Stornoway Airport,58.22,-6.33,GB
medium_airport,EGPR,BRR,Barra Airport,57.02,-7.44,GB
medium_airport,EGPU,TRE,Tiree Airport,56.5,-6.87,GB
large_airport,EGSH,NWI,Norwich International Airport,52.68,1.28,GB
large_airport,EGSS,STN,London Stansted Airport,51.88,0.23,GB
large_airport,EGTE,EXT,Exeter International Airport,50.73,-3.41,GB
large_airport,EGVN,BZZ,RAF Brize Norton,51.75,-1.58,GB
large_airport,EHAM,AMS,Amsterdam Airport Schiphol,52.31,4.76,NL
medium_airport,EHBK,MST,Maastricht Aachen Airport,50.91,5.77,NL
large_airport,EHEH,EIN,Eindhoven Airport,51.45,5.37,NL
medium_airport,EHGG,GRQ,Eelde Airport,53.12,6.58,NL
medium_airport,EHRD,RTM,Rotterdam The Hague Airport,51.96,4.44,NL
large_airport,EICK,ORK,Cork Airport,51.84,-8.49,IE
medium_airport,EICM,GWY,Galway Airport,53.3,-8.94,IE
medium_airport,EIDL,CFN,Donegal Airport,55.04,-8.34,IE
large_airport,EIDW,DUB,Dublin Airport,53.42,-6.27,IE
medium_airport,EIKN,NOC,Ireland West Knock Airport,53.91,-8.82,IE
medium_airport,EIKY,KIR,Kerry Airport,52.18,-9.52,IE
large_airport,EINN,SNN,Shannon Airport,52.7,-8.92,IE
medium_airport,EIWF,WAT,Waterford Airport,52.19,-7.09,IE
medium_airport,EKAH,AAR,Aarhus Airport,56.3,10.62,DK
large_airport,EKBI,BLL,Billund Airport,55.74,9.15,DK
large_airport,EKCH,CPH,Copenhagen Kastrup Airport,55.62,12.66,DK
medium_airport,EKEB,EBJ,Esbjerg Airport,55.53,8.55,DK
medium_airport,EKKA,KRP,Karup Airport,56.3,9.12,DK
medium_airport,EKOD,ODE,Odense Airport,55.48,10.33,DK
medium_airport,EKRN,RNN,Bornholm Airport,55.06,14.76,DK
medium_airport,EKSB,SGD,Sønderborg Airport,54.96,9.79,DK
medium_airport,EKSN,CNL,Sindal Airport,57.5,10.23,DK
medium_airport,EKVG,FAE,Vágar Airport,62.06,-7.28,FO
large_airport,EKYT,AAL,Aalborg Airport,57.09,9.85,DK
large_airport,ELLX,LUX,Luxembourg-Findel International Airport,49.62,6.2,LU
medium_airport,ENAL,AES,Ålesund Airport,62.56,6.12,NO
medium_airport,ENAN,ANX,Andøya Airport,69.29,16.14,NO
medium_airport,ENAT,ALF,Alta Airport,69.98,23.37,NO
medium_airport,ENBN,BNN,Brønnøysund Airport,65.46,12.22,NO
large_airport,ENBO,BOO,Bodø Airport,67.27,14.37,NO
large_airport,ENBR,BGO,Bergen Airport Flesland,60.29,5.22,NO
medium_airport,ENBS,BJF,Båtsfjord Airport,70.6,29.69,NO
medium_airport,ENBV,BVG,Berlevåg Airport,70.87,29.03,NO
medium_airport,ENCN,KRS,Kristiansand Airport,58.2,8.09,NO
medium_airport,ENDU,BDU,Bardufoss Airport,69.06,18.54,NO
medium_airport,ENEV,EVE,Harstad/Narvik Airport Evenes,68.49,16.68,NO
medium_airport,ENFG,VDB,Leirin Airport,61.02,9.29,NO
medium_airport,ENFL,FRO,Florø Airport,61.58,5.02,NO
large_airport,ENGM,OSL,Oslo Gardermoen Airport,60.19,11.1,NO
medium_airport,ENHD,HAU,Haugesund Airport,59.35,5.21,NO
medium_airport,ENHF,HFT,Hammerfest Airport,70.68,23.67,NO
medium_airport,ENHV,HVG,Valan Airport,71.01,25.98,NO
medium_airport,ENKB,KSU,Kristiansund Airport (Kvernberget),63.11,7.82,NO
medium_airport,ENKR,KKN,Kirkenes Airport (Høybuktmoen),69.73,29.89,NO
medium_airport,ENLK,LKN,Leknes Airport,68.15,13.61,NO
medium_airport,ENMH,MEH,Mehamn Airport,71.03,27.83,NO
medium_airport,ENML,MOL,Molde Airport,62.74,7.26,NO
medium_airport,ENMS,MJF,Mosjøen Airport (Kjærstad),65.78,13.21,NO
medium_airport,ENNA,LKL,Banak Airport,70.07,24.97,NO
medium_airport,ENNO,NTB,Notodden Airport,59.57,9.21,NO
medium_airport,ENOL,OLA,Ørland Airport,63.7,9.6,NO
medium_airport,ENOV,HOV,Ørsta-Volda Airport Hovden,62.18,6.07,NO
medium_airport,ENRA,MQN,Mo i Rana Airport Røssvoll,66.36,14.3,NO
medium_airport,ENRM,RVK,Rørvik Airport Ryum,64.84,11.15,NO
medium_airport,ENRO,RRS,Røros Airport,62.58,11.34,NO
medium_airport,ENSB,LYR,Svalbard Airport Longyear,78.25,15.47,NO
medium_airport,ENSH,SVJ,Svolvær Helle Airport,68.24,14.67,NO
medium_airport,ENSK,SKN,Stokmarknes Skagen Airport,68.58,15.03,NO
medium_airport,ENSO,SRP,Stord Airport,59.79,5.34,NO
medium_airport,ENSR,SOJ,Sørkjosen Airport,69.79,20.96,NO
medium_airport,ENSS,VAW,Vardø Airport Svartnes,70.36,31.04,NO
medium_airport,ENST,SSJ,Sandnessjøen Airport (Stokka),65.96,12.47,NO
large_airport,ENTC,TOS,Tromsø Airport,69.68,18.92,NO
medium_airport,ENTO,TRF,Sandefjord Airport Torp,59.19,10.26,NO
large_airport,ENVA,TRD,Trondheim Airport Værnes,63.46,10.92,NO
medium_airport,ENVD,VDS,Vadsø Airport,70.07,29.84,NO
large_airport,ENZV,SVG,Stavanger Airport Sola,58.88,5.64,NO
medium_airport,EPBY,BZG,Bydgoszcz Ignacy Jan Paderewski Airport,53.1,17.98,PL
large_airport,EPGD,GDN,Gdańsk Lech Wałęsa Airport,54.38,18.47,PL
large_airport,EPKK,KRK,Kraków John Paul II International Airport,50.08,19.78,PL
large_airport,EPKT,KTW,Katowice International Airport,50.47,19.08,PL
medium_airport,EPLL,LCJ,Łódź Władysław Reymont Airport,51.72,19.4,PL
large_airport,EPMO,WMI,Modlin Airport,52.45,20.65,PL
large_airport,EPPO,POZ,Poznań-Ławica Airport,52.42,16.83,PL
medium_airport,EPRA,RDO,Radom Airport,51.39,21.21,PL
medium_airport,EPRZ,RZE,Rzeszów-Jasionka Airport,50.11,22.02,PL
