Callsign, Origin, Destination
ABW147,UUEE,PANC
ABW147,UUEE,PANC
ABW147,UUEE,PANC
ABW147,UUEE,PANC
ABW147,UUEE,PANC
ABW147,UUEE,PANC
ABW147,UUEE,PANC
ABW147,UUEE,PANC
ABW147,UUEE,PANC
ABW147,UUEE,PANC
ABW147,UUEE,PANC
ABW147,UUEE,PANC
ABW147,UUEE,PANC
ABW147,UUEE,PANC
ABW147,UUEE,PANC
ABW147,UUEE,PANC
ABW147,UUEE,PANC
ABW147,UUEE,PANC
ABW147,UUEE,PANC
ABW147,UUEE,PANC
ABW147,UUEE,PANC
ABW147,UUEE,PANC
ABW147,UUEE,PANC
ABW147,UUEE,PANC
ABW147,UUEE,PANC
ABW147,UUEE,PANC
ABW147,UUEE,PANC
ABW147,UUEE,PANC
ABW147,UUEE,PANC
ABW147,UUEE,PANC
ABW147,UUEE,PANC
ABW147,UUEE,PANC
ABW147,UUEE,PANC
ABW147,UUEE,PANC
ABW147,UUEE,PANC
ABW147,UUEE,PANC
ABW147,UUEE,PANC
ABW147,UUEE,PANC
ABW147,UUEE,PANC
ABW147,UUEE,PANC
ABW147,UUEE,PANC
ABW147,UUEE,PANC
ABW147,UUEE,PANC
ABW147,UUEE,PANC
ABW147,UUEE,PANC
ABW147,UUEE,PANC
ABW147,UUEE,PANC
ABW147,UUEE,PANC
ABW147,UUEE,PANC
ABW147,UUEE,PANC
ABW147,UUEE,PANC
ABW147,UUEE,PANC
ABW147,UUEE,PANC
ABW147,UUEE,PANC
ABW147,UUEE,PANC
ABW147,UUEE,PANC
ABW147,UUEE,PANC
ABW147,UUEE,PANC
ABW147,UUEE,PANC
ABW147,UUEE,PANC
ABW147,UUEE,PANC
ABW147,UUEE,PANC
ABW147,UUEE,PANC
ABW147,UUEE,PANC
ABW147,UUEE,PANC
ABW147,UUEE,PANC
ABW147,UUEE,PANC
ABW147,UUEE,PANC
ABW147,UUEE,PANC
ABW147,UUEE,PANC
ABW147,UUEE,PANC
ABW147,UUEE,PANC
ABW147,UUEE,PANC
ABW147,UUEE,PANC
ABW147,UUEE,PANC
ABW147,UUEE,PANC
ABW147,UUEE,PANC
ABW147,UUEE,PANC
ABW147,UUEE,PANC
ABW147,UUEE,PANC
