Callsign, Origin, Destination
HVN19,YMML,LFPG
CCA839,YMML,LEBL
CES219,YSSY,EDDF
CXA825,YSSY,LFPG
ETH704,KLDJ,LFPG
HVN55,YSSY,EGLL
CPA343,YMML,EGKK
LAN706,KJFK,LEMD
BAW16,YSSY,EGLL
THA936,WIII,LOWW
QFA1,YSSY,EGLL
AAR561,KORD,LIRF
ETH3720,VABB,EBLG
CAO1023,KLAX,EHAM
CPA233,RJTT,LIMC
SIA326,KSFO,EDDF
CPA289,RPLL,EDDF
CES201,RCTP,EGKK
QFA9,YPPH,EGLL
QFA10,EGLL,YPPH
AFR552,LFPG,RCTP
BAW243,EGLL,MMMX
NAX7UA,LFPG,KLAX
AMX002,LEMD,MMMX
AVA019,LEBL,SKBO
NAX43J,LEMD,KLAX
KAC117,RPLL,EINN
CLU103,UUEE,KORD
DAL79,EHAM,KLAX
AEA193,LEMD,SKBO
EVA061,RCTP,LOWW
BAW49,EGLL,KSEA
AFR293,RJTT,LFPG
BAW9CG,EGLL,KPHX
IBE6117,LEMD,KOPF
BAW97A,EGLL,KIAH
BAW119,EGLL,VOMM
BAW287,EGLL,KSFO
AFG707,VIDP,UUEE
JAL12,EFHK,KDFW
N539CA,LOWS,KBCT
MAS2,WMKK,EGLL
ANZ1,EGLL,KLAX
AEA046,SUMU,LEMD
BAW269,EGLL,KLAX
AVA011,LEMD,SKBO
BAW34,WMKK,EGLL
ANA203,RJTT,EDDF
BAW41,EGLL,FALE
JAI115,EGLL,VABB
BAW31F,EGLL,KDFW
ACA877,EDDF,CYYZ
CAL063,RCTP,LOWW
BAW297,EGLL,KORD
CAL061,RCTP,EDDF
EVA087,RCTP,LFPG
BAW275,EGLL,KLAS
BAW211,EGLL,KMIA
BAW67V,EGLL,KPHL
AFR422,LFPG,SKBO
ABW147,UUEE,PANC
NAX19M,LIRF,KEWR
AEA026,SLVR,LEMD
TAP209,LPPT,KJFK
BAW2273,EGKK,KJFK
NAX5W,ESSA,KJFK
BAW293,EGLL,KIAD
NRS15Z,EGKK,KJFK
NAX9V,LFPG,KJFK
RSD004,UUWW,SBBR
TAP005,LPPT,SBSG
IBE6012,SUMU,LEMD
DAL4,EGLL,KJFK
AFR008,LFPG,KJFK
BAW99,EGLL,CYYZ
