Callsign,Origin,Destination,Day
TUP6582,EBLG,UUWW,2020-05-01 
ABW405,UUEE,LIMC,2020-05-01 
RRR2788,EGVN,LDZA,2020-05-01 
KAL9565,LIMC,LOWW,2020-05-01 
IBE2820,LFBD,LEMD,2020-05-01 
KAL591,LEMD,LOWW,2020-05-01 
CCA595,LFPG,LIMC,2020-05-01 
SQP4413,LKPD,UKBB,2020-05-01 
ETD920,LFPG,LROP,2020-05-01 
CSN455,EGSS,EHAM,2020-05-01 
EDG78,LFLL,EBLG,2020-05-01 
BAW9150,EGLL,EGFF,2020-05-01 
CMB120,LEJR,LICC,2020-05-01 
AZV9910,EDDF,UUWW,2020-05-01 
CSN5203,EDDF,EHAM,2020-05-01 
RSY9638,EGLL,UUWW,2020-05-01 
N4DF,EINN,LIRA,2020-05-01 
RSY7538,BIKF,UUWW,2020-05-01 
CCA597,EDDF,LIMC,2020-05-01 
HI985,LSGG,EINN,2020-05-01 
RSY9604,UUWW,EBLG,2020-05-01 
LOT1098,EPWR,EPWA,2020-05-01 
RFE9773,UUWW,UMMS,2020-05-01 
DSO04LM,EGLC,LIML,2020-05-01 
KAL543,EDDF,LHBP,2020-05-01 
N620SY,EGGW,EDDL,2020-05-01 
ELY381,EBLG,LIMC,2020-05-01 
GTH9,EINN,LGIR,2020-05-01 
VAJ99K,UUWW,UMMS,2020-05-01 
MSR521,EBOS,LIMC,2020-05-01 
AZG3432,EGSS,EDFH,2020-05-01 
SUM9123,UWLW,UUBW,2020-05-01 
AZG234,EDFH,ESMS,2020-05-01 
CSC8295,LSZH,LKPR,2020-05-01 
BPO840,EDDH,EDHL,2020-05-01 
ETH706,ESSA,EDDF,2020-05-01 
CAO1037,EDDF,EHAM,2020-05-01 
NPT028E,EGNX,EGPH,2020-05-01 
SVR174,ULLI,UUDD,2020-05-01 
DLH781,EDDP,EDDF,2020-05-01 
OVD9603,UUEE,UUBW,2020-05-01 
ETH704,EBBR,LFPG,2020-05-01 
BCS316,EBBR,LEVT,2020-05-01 
AZU8750,LPPR,LPPT,2020-05-01 
GMA361C,EGPF,EGPH,2020-05-01 
KAL8509,ESSA,LOWW,2020-05-01 
IFA6113,EGGW,EDDN,2020-05-01 
CSN465,EKCH,EGSS,2020-05-01 
N703A,EINN,LOWW,2020-05-01 
DOC83,EKBI,EKCH,2020-05-01 
SVR388,UUWW,UUDD,2020-05-01 
CES771,EDDF,EHAM,2020-05-01 
REBEL81,LHBP,LGAV,2020-05-01 
P4NGK,LKPR,LJLJ,2020-05-01 
BCS88W,EDDP,LEVT,2020-05-01 
CGF1810,EDDK,LEVT,2020-05-01 
TVS4369,LKPR,LIMC,2020-05-01 
NWS9424,EGLL,UUEE,2020-05-01 
FJK1265,EVRA,UUWW,2020-05-01 
SBI1228,UUEE,UUDD,2020-05-01 
AAR795,EDDF,UUDD,2020-05-01 
KAR9020,EGFF,UUEE,2020-05-01 
REBEL81,LHBP,LGAV,2020-05-01 
TYA404,ULLI,UUDD,2020-05-01 
SBI2602,UUWW,UUDD,2020-05-01 
ETD9912,LYBE,EHAM,2020-05-01 
LAN1105,LEMD,EDDF,2020-05-01 
CSS7172,EDDF,EDFH,2020-05-01 
AFR6903,EIDW,LFPG,2020-05-01 
PEG68,EGGW,EIDW,2020-05-01 
AFL1636,UUEE,UKFF,2020-05-01 
WZZ121,EPGD,EGGW,2020-05-01 
AFL1246,UUEE,UWUU,2020-05-01 
WZZ4623,LROP,ENTO,2020-05-01 
CCA875,LIMC,LFPG,2020-05-01 
KLM758,EDDL,EHAM,2020-05-01 
RRR6389,ESGG,EGVN,2020-05-01 
WZZ1524,LBWN,ESMS,2020-05-01 
SEH250,LGAV,LGSA,2020-05-01 
UTA389,UUWW,UMKK,2020-05-01 
DRU597,ULLI,UUDD,2020-05-01 
WRC7751,LOWW,LSGG,2020-05-01 
ETH728,EGCC,EBBR,2020-05-01 
FLC85,EDDN,EVRA,2020-05-01 
UTA446,UUMO,UUWW,2020-05-01 
LZB461,EGLL,EHAM,2020-05-01 
AFL1320,UUEE,UUYY,2020-05-01 
N823AM,EFHK,EHRD,2020-05-01 
BCS081,EBBR,EDDP,2020-05-01 
UTA678,UWUU,ULLI,2020-05-01 
AFL1644,UUEE,UKFF,2020-05-01 
KZN9403,UUWW,UWWW,2020-05-01 
BCS2876,EGNX,EGPD,2020-05-01 
AFL1296,UUEE,UWLL,2020-05-01 
AFR841,LFPO,LFPG,2020-05-01 
SBI2572,UUWW,UUDD,2020-05-01 
CGF1811,LEVT,EDDK,2020-05-01 
SAS249,ENGM,ENBR,2020-05-01 
FJK1266,UUWW,EVRA,2020-05-01 
AFL1052,UUEE,URML,2020-05-01 
HFM573,LPPR,LPPT,2020-05-01 
AFL1332,UUEE,UUYY,2020-05-01 
SDM6891,ULLI,UKFF,2020-05-01 
BAE102,EGNX,LIBD,2020-05-01 
SAS1314,ENGM,ENAL,2020-05-01 
SBI3042,UUWW,UUDD,2020-05-01 
NAX602,ENGM,ENBR,2020-05-01 
SEH251,LGSA,LGAV,2020-05-01 
SDM6323,ULLI,UMKK,2020-05-01 
LZB972,LBWN,LBSF,2020-05-01 
SAS2301,ENGM,ENML,2020-05-01 
SDM6371,ULLI,URRP,2020-05-01 
NAX7TE,ENGM,ENDU,2020-05-01 
SAS205,ENGM,ENCN,2020-05-01 
NAX4RZ,ENGM,ENBO,2020-05-01 
NAX430,ENGM,ENML,2020-05-01 
SSF9781,UUDD,EDDB,2020-05-01 
SDM6355,ULLI,UUWW,2020-05-01 
NAX6CF,ENGM,ENVA,2020-05-01 
LSV603,LJLJ,EPKK,2020-05-01 
AMX025,LEBL,EHAM,2020-05-01 
SDM6201,ULLI,URKA,2020-05-01 
AZO201,URWA,UUWW,2020-05-01 
SSG006,LZIB,LOWW,2020-05-01 
MOZ294,LOWW,EGNH,2020-05-01 
SDM6453,ULLI,UWUU,2020-05-01 
BCS731P,EDDK,LEMD,2020-05-01 
VLG30MJ,GCLP,LEBL,2020-05-01 
AFL1620,UUEE,UKFF,2020-05-01 
CFG4062,EDDN,EDDF,2020-05-01 
IRA733,LIPR,LFPG,2020-05-01 
SAS248,ENBR,ENGM,2020-05-01 
DIJLJ,LEMD,LEPP,2020-05-01 
SUM9123,UWLW,UUBW,2020-05-01 
LTC201,EDDM,UUWW,2020-05-01 
BAW9155,EGLL,LFPG,2020-05-01 
AZO203,URRP,ULLI,2020-05-01 
