Callsign, Origin, Destination,Day
CCA597,EDDF,LIMC,2020-06-01 
N51086,LEVC,EINN,2020-06-01 
N519SW,LEVC,EINN,2020-06-01 
KLM895,EHAM,UUEE,2020-06-01 
CSN347,UUEE,LFPG,2020-06-01 
N487SL,BIKF,EHAM,2020-06-01 
KAL9926,EHEH,LSGG,2020-06-01 
CCA595,LFPG,LIMC,2020-06-01 
N57RG,EINN,EHBK,2020-06-01 
ETH3751,EBLG,LMML,2020-06-01 
IBE2820,LFBD,LEMD,2020-06-01 
BCS48M,EGNX,LEVT,2020-06-01 
UTA559,UUWW,URML,2020-06-01 
SVR9864,ULMM,UUDD,2020-06-01 
BCS88W,EDDP,LEVT,2020-06-01 
N4LM,EIKN,BIRK,2020-06-01 
PLF106,EDDM,EPWA,2020-06-01 
KLM758,EDDL,EHAM,2020-06-01 
KFB69,EGGD,EGPF,2020-06-01 
BCS908,EDDP,LBSF,2020-06-01 
BNOR,ENBO,ENEV,2020-06-01 
ETH704,EBBR,LFPG,2020-06-01 
CSN307,EDDF,EHAM,2020-06-01 
TAY4214,EBLG,LEBL,2020-06-01 
ETH500,BIKF,EIDW,2020-06-01 
BOX621,EDDP,EDDF,2020-06-01 
NPT4679,EBLG,LROP,2020-06-01 
AFL1627,UKFF,UUEE,2020-06-01 
N236FS,EHAM,EIDW,2020-06-01 
MYA77,ESGG,BIRK,2020-06-01 
ETH706,ESSA,EDDF,2020-06-01 
AZA8012,LIML,LIRF,2020-06-01 
TAY4851,LSGG,LMML,2020-06-01 
SVR388,UUWW,UUDD,2020-06-01 
EJM216,LMML,EINN,2020-06-01 
ACP2617,EBLG,EGCN,2020-06-01 
BCS7858,EDDP,LIRP,2020-06-01 
SBI1172,UUWW,UUDD,2020-06-01 
UTA578,UUMO,UUWW,2020-06-01 
CGF1810,EDDK,LEVT,2020-06-01 
AUL562,ULMM,UUDD,2020-06-01 
FJK1265,EVRA,UUWW,2020-06-01 
N194MF,LSGG,EGSS,2020-06-01 
SWT6992,EDDK,LBSF,2020-06-01 
JCL5,LEPA,EGSS,2020-06-01 
LIFELN4,EHAM,EHGG,2020-06-01 
JAL47,UUEE,EFHK,2020-06-01 
CGF1808,EDDK,LRCL,2020-06-01 
DOC95,EKAH,EKBI,2020-06-01 
ETD901,EHAM,EDDF,2020-06-01 
MNB6122,EDDK,LTBU,2020-06-01 
SBI1160,UUWW,UUDD,2020-06-01 
SBI2602,UUWW,UUDD,2020-06-01 
JAL407,UUDD,EDDF,2020-06-01 
CWG996,BIKF,EDSB,2020-06-01 
SBI1228,UUEE,UUDD,2020-06-01 
5840,ESSA,ESSB,2020-06-01 
WZZ121,EPGD,EGGW,2020-06-01 
TAY4214,LHBP,LEZL,2020-06-01 
UTA380,LOWW,UUWW,2020-06-01 
AZG658,EBBR,LOWW,2020-06-01 
ETH728,EGCC,EBBR,2020-06-01 
AFL1246,UUEE,UWUU,2020-06-01 
AYY108,LOWW,LKTB,2020-06-01 
CHX86,EDDB,EDDV,2020-06-01 
AFL1438,UUEE,UWUU,2020-06-01 
AFL1356,UUEE,UWWW,2020-06-01 
AUL232,UUWW,UUDD,2020-06-01 
UTA352,UUYY,UUWW,2020-06-01 
BCS081,EBBR,EDDP,2020-06-01 
TUL9734,UUWW,UWKD,2020-06-01 
BCS8165,LPPR,LPPT,2020-06-01 
OSPREY3,LMML,LGKO,2020-06-01 
AFL1254,UUEE,UWKE,2020-06-01 
SEH2HR,LGAV,LGIR,2020-06-01 
N806XA,EGSS,LGAV,2020-06-01 
T16,EFKU,EFJY,2020-06-01 
LZB971,LBWN,LBSF,2020-06-01 
BCS57D,LEVT,LPPR,2020-06-01 
AFL1644,UUEE,UKFF,2020-06-01 
MJF6T,UUWW,UWGG,2020-06-01 
T23,EFHK,EFOU,2020-06-01 
BCS2874,EGAA,EGPD,2020-06-01 
SAS4141,ENVA,ENBR,2020-06-01 
AUL522,ULMM,UUDD,2020-06-01 
CGF1810,LEPP,LEZL,2020-06-01 
WZZ5203,LBSF,EDLW,2020-06-01 
SAS249,ENGM,ENBR,2020-06-01 
LZB461,EGLL,EHAM,2020-06-01 
CTN6D,LDDU,LDZA,2020-06-01 
JSI9155,UUEE,EDDB,2020-06-01 
UTA446,UUMO,UUWW,2020-06-01 
BCS8436,LEVT,LEAL,2020-06-01 
AFL1320,UUEE,UUYY,2020-06-01 
AUL115,ULMM,UUDD,2020-06-01 
RCH106,BIKF,EETN,2020-06-01 
AMX003,EHAM,LFPG,2020-06-01 
AFL1158,UUEE,UWSS,2020-06-01 
OAL4AL,LGAV,LGAL,2020-06-01 
AFL1296,UUEE,UWLL,2020-06-01 
LZB449,LIMC,LIRF,2020-06-01 
CGF1808,LRCL,LROP,2020-06-01 
MSR520,EHAM,EBOS,2020-06-01 
SBI2572,UUWW,UUDD,2020-06-01 
TCSCN,LHBP,LDZA,2020-06-01 
SBI3042,UUWW,UUDD,2020-06-01 
SAMU13,LFML,LFMV,2020-06-01 
SAS1314,ENGM,ENAL,2020-06-01 
SAS2301,ENGM,ENML,2020-06-01 
AFR770H,LFPG,LFMD,2020-06-01 
AFL1332,UUEE,UUYY,2020-06-01 
AFL1052,UUEE,URML,2020-06-01 
AEE13,LGAV,EDDF,2020-06-01 
TCSHE,UUWW,LEBL,2020-06-01 
ECLBB,LEVC,LEBL,2020-06-01 
SBI2103,UUDD,URKA,2020-06-01 
SVR9954,UMKK,UUDD,2020-06-01 
SVR272,UUEE,UUDD,2020-06-01 
AFL1546,UUEE,URKA,2020-06-01 
N806XA,EGSS,LGAV,2020-06-01 
NAX4RZ,ENGM,ENBO,2020-06-01 
AZO201,URWA,UUWW,2020-06-01 
NAX430,ENGM,ENML,2020-06-01 
AFL1498,UUEE,URWA,2020-06-01 
RYR46CR,EGSS,LBSF,2020-06-01 
QQE610,EVRA,UUWW,2020-06-01 
AEE5SZ,LGAV,LSZH,2020-06-01 
NAX7TE,ENGM,ENDU,2020-06-01 
AYY162,EDDK,EDDF,2020-06-01 
SVR342,UUBW,UUDD,2020-06-01 
T23,EFOU,EFTP,2020-06-01 
NAX6CF,ENGM,ENVA,2020-06-01 
LZB972,LBSF,LBWN,2020-06-01 
LZB972,LBSF,LBWN,2020-06-01 
TUP6538,LEBL,UUWW,2020-06-01 
GZP9675,UWUU,UUWW,2020-06-01 
AFL1390,UUEE,UUYY,2020-06-01 
JEI414,EDDM,EDLW,2020-06-01 
OAL3IR,LGIR,LGAV,2020-06-01 
5840,ESSA,ESSB,2020-06-01 
PLG9001,UUWW,ULMM,2020-06-01 
YUSRB,LYBE,EGGW,2020-06-01 
SBI2005,UUDD,UKFF,2020-06-01 
AZO321,UWUU,UUWW,2020-06-01 
AFL1620,UUEE,UKFF,2020-06-01 
MJF6T,EVRA,UUWW,2020-06-01 
AZE79RU,LFKF,LIEO,2020-06-01 
OHWAU,EFHK,EETN,2020-06-01 
SEH211,LGIO,LGAV,2020-06-01 
YLPAE,EVLA,EYPA,2020-06-01 
MNB6122,LTBU,EDDK,2020-06-01 
OAL333,LGSA,LGAV,2020-06-01 
SAY9307,UUEE,EDFH,2020-06-01 
CFG6LA,EDDF,GCTS,2020-06-01 
NAX8416,ENGM,ENZV,2020-06-01 
SAS71C,ENGM,EKCH,2020-06-01 
SBI2141,UUDD,URWA,2020-06-01 
SPMKC,EPRA,EPLL,2020-06-01 
OAL14XD,LGAL,LGAV,2020-06-01 
HZA5,LSGG,LIMC,2020-06-01 
SAS2304,ENGM,ENKB,2020-06-01 
N224YU,LIPY,LIPK,2020-06-01 
CLF260,EGGD,EICK,2020-06-01 
AFL1350,UUEE,UUOO,2020-06-01 
SAS4556,ENVA,ENBO,2020-06-01 
VLG30MJ,GCLP,LEBL,2020-06-01 
AFL1255,UWKE,UUEE,2020-06-01 
RVP951,LPPM,LPCS,2020-06-01 
IBS3942,LEMD,GCXO,2020-06-01 
AZA1731,LIRF,LICC,2020-06-01 
AFL1220,UUEE,UWGG,2020-06-01 
AFL1247,UWUU,UUEE,2020-06-01 
FXT201,ESSP,ESMS,2020-06-01 
WZZ1653,EGGW,LBSF,2020-06-01 
GHCSA,EHRD,EHAM,2020-06-01 
LZB450,LIRF,LBSF,2020-06-01 
LOT7005,EPWA,LJLJ,2020-06-01 
HBPDX,LFMK,LFLS,2020-06-01 
CNV6117,LPPT,LEPA,2020-06-01 
THY6111,LKPR,UKBB,2020-06-01 
VJT569,LMML,LOWW,2020-06-01 
BHL530,EGSH,EGPD,2020-06-01 
VLJ56AA,LFTH,LSGG,2020-06-01 
GRL6779,EKCH,BIKF,2020-06-01 
UTA557,UUWW,URML,2020-06-01 
