Callsign, Origin, Destination
HBAL102,,
AZG2672,OMDW,
FDX5230,,RKSI
CFG711,,EDDF
CFG723,,EDDF
QTR807,,OTHH
FDX5986,VHHH,
TAM9518,,FAOR
PRBVB,,KOAK
KLM862,,EHAM
THY6476,LTBA,
PAC716,,KLAX
N117TJ,,KCOS
ETH501,KIAD,
UAL2809,,KORD
COPPER6,,KAVQ
BOX691,,EDDF
QTR988,,YSSY
AYY151,,EGBB
UPS108,PANC,
FDX90,,
CSN305,,NZAA
GIA088,,EHAM
FIN123,EFHK,
SDM6574,ULLI,
QTR912,,YBBN
DAL275,,RJTT
FDX60,RJBB,
CSN441,,KLAX
UPS80,PANC,
HFM411P,LPPT,
QTR961,,OTHH
CAO106A,KLAX,
QTR03L,,YSSY
QTR891,,OTHH
CAO1045,,PANC
FDX3,EDDF,
QTR4EH,,YMML
QTR990,,YPPH
JTN157,,KRIR
N9459C,,KDAB
FDX7,LIMC,
EIN9022,EIDW,
SDM6297,UUEE,
QTR871,,OTHH
CSN5202,KORD,
CKK228,KORD,
IFA4059,,VTBD
SDM6542,ULLI,
AFR671,,LFPG
AZG246,,VHHH
FDX21A,LFPG,
ICL1812,,EBLG
IBE0038,,LEMD
SIA7373,,WSAP
CKS363,,KLAX
FDX5225,EDDK,
ROU1733,,CYYZ
ANA7,KSFO,
UPS2940,,KMHR
N8179Q,,ID79
AHO671D,EDDN,
NCR831,,PANC
78837,UNNT,
RCH288,,PAED
CAO1049,,PANC
TUP9687,,
UPS2966,KSDF,
CMB543,KAFW,
UPS2932,,KRIR
LCO1103,KMIA,
CSN483,,EGSS
N4182T,,KMYF
FDX17,,KSEA
ABW209,,EBLG
CKK222,KLAX,
CAL073,,EHAM
OOSXX,,EBAW
CSN5234,KLAX,
FDX1,EGSS,
FDX3713,,KSAN
FDX700,,KSFO
N747KS,,BIRK
CLX6991,,ELLX
ADB3311,,LEZG
AHK561,VHHH,
FDX540,,KSJC
SIA7977,,WSAP
ETH8502,,KIAD
PBD558,ULLI,
SWQ0751,,KMIA
KLM896,,EHAM
FDX3718,,KLAX
CES788,LIRF,
ETD9816,EGSS,
FDX749,,KLAX
NKS955,,KLAX
FDX3704,,KPDX
AFL1742,UUEE,
PAC718,,KLAX
FDX1642,,KSJC
TAM8114,SBGR,
FDX350,,KOAK
FDX397,,KSEA
FDX308,,KSMF
FDX382,,KPDX
MJF65G,UUWW,
FDX723,,
MSR538,,EDDK
CCA833,,LFPG
FDX907,,KSFF
ENY4032,,KDFW
SBI2547,UUDD,
QTR8961,,OTHH
FDX541,,KLAS
N118ST,,KJQF
FDX906,,KSAN
FDX9825,,RJAA
NCA196,,PANC
MAS6479,,WMKK
AFG331,LTAC,
FDX917,,KRIR
SID9701,SBGR,
AAL219,,KLAX
ASA787,,KSEA
DAL2960,,KMSP
UPS1333,,KSDF
N73VE,,KGVL
AFL1478,UUEE,
SWA4544,,02XS
RAM3846,GMMN,
TAM8221,,SBGR
CSN451,,EHAM
CXA811,,EHAM
CLX8592,,ELLX
SWA1058,,KRSW
NKS678,KRSW,
DAL2125,,KATL
N2746L,,8OL1
SWA807,KPVD,
NKS1735,,KPMP
FDX980,,KLAX
CSJ213,,CYHM
SWA802,,KBWI
ABW279,,EDDF
FDX363,,KBOI
FDX904,,KPHX
LCO1721,,SBKP
N812PA,,OH22
RPA4574,KDCA,
JKR15,,KFRG
PBD516,,
UTA265,UUWW,
FDX981,,KOAK
ENY4208,,KDFW
JBU1348,,KDCA
FDX987,,KJFK
SBI5212,,UNNT
FDX159,,PANC
SWA1312,,KLAS
ASH6122,KIAH,
FDX9011,,EDDK
UAL2306,,KORD
SWA2606,,KMDW
NKS992,,KORD
SWA3866,,KLAS
FDX1351,,KLGB
JBU828,,KEWR
DOJ136,,KLAS
JBU1023,KDCA,
