source,target
YSSY,EGLL
YSSY,EDDF
YSSY,EGLL
KORD,EDDF
KJFK,LEMD
YBBN,LIRF
LTBA,LTBA
RCTP,ELLX
OMDB,OMDB
YSSY,EDDF
OMDB,OMDB
YSSY,EGLL
OTHH,OTHH
KORD,LFPG
KLAX,VHHH
OMDB,OMDB
KJFK,VHHH
VHHH,EDDL
WMKK,WMKK
OMDB,OMDB
YSSY,EGLL
KLAX,YSSY
KSFO,VHHH
NZAA,KHHR
KLAX,YSSY
CYYZ,KHHR
KSFO,EGLL
EBBR,EBBR
EHAM,EHAM
KJFK,RPLL
WMKK,WMKK
YSSY,NZAA
KJFK,YSSY
RJBB,ENKJ
NZAA,OMDB
LFPO,LFPO
YMML,EGCC
NZAA,KORD
PANC,KOAK
EHAM,EHAM
CYYZ,RPLL
CYYZ,RCTP
EHAM,EHAM
WIII,WIII
YSSY,OMDB
RCTP,LFPG
VHHH,KBOS
VHHH,CYYZ
YSSY,YSSY
VHHH,KIAD
YBBN,OMDB
VHHH,CYYZ
EHAM,EHAM
LEMD,LIRF
EGCC,EGCC
YSSY,OMAA
WIII,YBBN
YSSY,OTHH
RCTP,NZAA
YPAD,OTHH
LEMD,LEMD
YSSY,OMDB
LTBA,KSFO
LTBA,KLAX
OMRK,WSAP
VHHH,WIII
LEMD,LEMD
YMML,OTHH
WMKK,GMMT
VHHH,KEWR
FARA,LFPG
YMML,OMAA
YPPH,EGLL
YMML,OMDB
RJBB,YSSY
FARA,RJTT
RCTP,KJFK
YPAD,OMDB
WIII,LOWW
YMML,KSFO
LTBA,LTBA
PANC,VHHH
LSZH,LSZH
LSZH,KSFO
FABA,VABB
LSZH,KLAX
YBBN,OMAA
YBBN,OMDB
RCTP,CYYZ
NZAA,NZAA
RCTP,KORD
VHHH,YBBN
OMDB,EDDK
EGLL,YPPH
VHHH,OTHH
SBGR,EGLL
LFPG,LFPG
LFPG,RCTP
EDDF,KLAS
LTBA,KIAD
VHHH,EKCH
EDDF,EDDF
WMKK,EDDF
RCTP,KLAX
EDDF,EDDF
PANC,KLAX
KHPN,KLNA
EDDF,EDDF
EHAM,VHHH
LFPG,LFPG
VHHH,OMDB
VHHH,LLSD
LFPG,KLAX
EHAM,EHAM
RCTP,LTBA
VHHH,NZAA
EGLL,EGLL
RPLL,KJFK
EGLL,KLAX
UUEE,VHHH
RCTP,LTBA
EDDF,57FA
YMML,YMML
VHHH,EDDF
EDDL,08FA
VHHH,KMEM
VABB,VABB
RPLL,KLAX
KVNY,KOWB
YPPH,OMDB
LIMC,LIMC
EGLL,KDFW
SAEZ,EGKK
WIII,LTBA
LEMD,KMIA
FAGC,SBGR
RCTP,KIAH
RJBB,OMDB
EFHK,KMIA
FABA,OTHH
SBKP,KMIA
VOMM,EBLG
RPLL,KSFO
RCTP,LOWW
EGLL,KMIA
RPLL,KJFK
RJTT,LFPG
KJFK,VHHH
EGLL,KLAX
LRBS,KIAD
YPPH,OTHH
EDDM,RJTK
EGLL,KSEA
EGLL,CYVR
VABB,VEIM
LTBA,VHHH
EDDM,KIAD
RJTT,OTHH
EDDF,KORD
EHAM,KLAX
KSFO,PANC
VHHH,NZAA
VHHH,EDDK
EGLL,KSFO
RPLL,OMAA
RJTT,KSEA
RCTP,EYKA
RPLL,LTBA
EFHK,VHHH
VHHH,EGGW
EDDM,KORD
EIDW,57FA
KJFK,OTHH
KORL,SBGR
SBGL,72FL
LEMD,KJFK
EGLL,KPHX
RJTT,KLAX
LGAV,KEWR
VHHH,LTBA
WMKK,NZAA
KEWR,KEWR
WMKK,EGLL
KSEA,RJTJ
RJTT,OMDB
YPPH,FABA
LFPG,KHWO
LOWW,LOWW
EGLL,EGLL
RCTP,OMDB
EGLL,KIAH
VHHH,LFPG
EDDM,KSFO
LFPG,RJTT
EGLL,KLAX
VHHH,EGLL
EGLL,KSFO
WMKK,LTBA
EGLL,KLAX
VHHH,PANC
RCTP,KSFO
VCBI,LTBA
KIAD,OMDB
WIII,EHAM
RCTP,KSFO
EFHK,RJBB
SAEZ,LEBL
RCTP,LIRF
VHHH,KSFO
EGLL,KORD
SBKP,SBKP
RPLL,OTHH
SUMU,LEMD
WMKK,YSSY
EGLL,KORD
OMDW,OMDW
VHHH,EDDF
EGLL,FALE
VHHH,YSSY
EGLL,KDFW
EGPK,VIDP
VHHH,EGLL
RCTP,KLAX
VOBL,LTBA
VHHH,FABB
ELLX,VHHH
RCTP,YSSY
RPLL,OMDB
RCTP,CYVR
RPLL,NZAA
WBSB,OMDB
EDDF,KIAD
VHHH,EDDM
OR81,KSDL
EGLL,VABB
SAEZ,LEMD
RCTP,KSEA
VHHH,YSSY
KJFK,OMDB
WMKK,EHAM
RCTP,YBBN
VHHH,EGLL
KLAX,EBLG
VHHH,YMML
SAEZ,LFPG
RCTP,CYVR
EIDW,KORD
LSZH,KEWR
RCTP,LFPG
KIAH,KEWR
WMKK,EGLL
RCTP,EHAM
RJTT,EDDF
SAEZ,LSZH
OMDB,RPLL
EGLL,KSAN
VHHH,LFPG
EDDF,CYYZ
EGLL,KIAD
LPPT,SBGR
WMKK,EDDF
EGLL,KJFK
KCRQ,KFLL
KLAX,EBLG
VHHH,OMDW
EDDM,6GA0
RCTP,PANC
VHHH,EGLL
RCTP,KLAX
VHHH,YPAD
SAEZ,LEMD
VHHH,PANC
VHHH,LIRF
RCTP,EDDF
EPWA,KJFK
VHHH,KLAX
VHHH,LEBL
EIDW,KJFK
KJFK,KJFK
VHHH,LSZH
LFPG,LFPG
KEWR,OMDB
EGLL,KBOS
LEMD,KDTW
EIDW,KSEA
VHHH,EHAM
EPWA,KEWR
KDFW,KDFW
EGLL,KLAS
SAEZ,LIRF
VHHH,OMDB
EHAM,VHHH
EDDF,KSFO
LSZH,VCBI
VHHH,EGKK
LIRF,KEWR
EPWA,KORD
EGLL,FAGM
CYYZ,CYVR
VHHH,LSZH
VHHH,PANC
EGLL,KOPF
KDFW,VHHH
YPPH,VHHH
EHAM,CYYZ
OMDW,OMDW
UUEE,VHHH
KLAX,KLAX
VHHH,OTHH
ULLI,ULLI
VHHH,EGLL
EGLL,KIAD
WBSB,EGLL
OTHH,YPAD
VHHH,LIMC
WIII,OMAA
EGKK,KBOS
EGLL,KBOS
OMDB,YBBN
